,feature,rmse_median_SAPS,rmse_25perc_SAPS,rmse_75perc_SAPS,r2_median_SAPS,r2_25perc_SAPS,r2_75perc_SAPS,r_median_SAPS,r_25perc_SAPS,r_75perc_SAPS
0,Activity,3.1087289490434187,2.9991790532714124,3.223902690011589,0.009923861596549621,-0.023355014144040787,0.0505737472110345,0.17416137955337846,0.11845449115591272,0.23355356641392763
1,Alpha,3.329965941097082,3.21383839165673,3.432106594735206,-0.1182959495468825,-0.1611187576124325,-0.07402722992528299,-0.09883068483855781,-0.1571839865486322,-0.013581407785927497
2,alphaPh_betaAmp,3.1629836038203063,3.074726769734748,3.32239133957966,-0.032442312387757966,-0.07474103499962115,0.012975099719822747,0.03095850554424033,-0.044946262381290056,0.14945711815358942
3,alphaPh_gammaAmp,3.1752538543942435,3.083503816316793,3.2958622306891914,-0.02371042981945004,-0.04521776140857481,0.011840962516122433,0.02318315197986719,-0.03943572376710683,0.12545705782375463
4,amp_env_meanAlpha,3.1961365665958628,3.0940427444116514,3.3270919840695683,-0.04825347233890043,-0.0966101038571191,0.009306002963874599,0.07868688672178963,0.01358999314810527,0.16414341494368168
5,amp_env_meanBeta,3.1610529899910613,3.058552676330586,3.2646278023037096,-0.010352659638270367,-0.04418438440802519,0.019184400079962055,0.12009914284474726,0.06927497329129817,0.17190659046602896
6,amp_env_meanDelta,3.262421911512563,3.163692192348197,3.36293238656655,-0.08199623259125621,-0.12369403980737359,-0.03194445397141338,-0.020499230699994257,-0.09929980904597474,0.05972811156024992
7,amp_env_meanGamma,3.1920199298696526,3.023528895000915,3.2966100338178332,-0.028778670243580384,-0.06443780350944822,0.035108087333708765,0.09900867042333841,0.04129413704965147,0.2143863681814662
8,amp_env_meanTheta,3.3218024577379786,3.199808159941344,3.4201238638688762,-0.10719951302994357,-0.14439070871343584,-0.07206535047840235,-0.07261719229274974,-0.16910334291028378,-0.0006526127966348062
9,amp_env_stdAlpha,3.1849694050356625,3.094410399831074,3.3125961291636226,-0.03014799169744775,-0.0927969777299314,0.011957181897393726,0.07066538214066628,0.012950596399220443,0.16114650007129522
10,amp_env_stdBeta,3.1963299425873912,3.0725568758120514,3.3023423101800233,-0.025746001361959148,-0.06383913039980194,0.008645651716951502,0.09320312140512522,0.020424460525157107,0.14665772649931197
11,amp_env_stdDelta,3.2515816417652017,3.1522144869998523,3.3517277739762585,-0.05594250102199161,-0.1149280985003589,-0.024022609622522173,0.0034086591224677734,-0.10389431557667221,0.07272320286269957
12,amp_env_stdGamma,3.161379526147301,3.0308036571516,3.266953806076491,-0.008067477024989,-0.05239794227684641,0.04253058243209973,0.12395887676171985,0.07191020203873724,0.2279069529872365
13,amp_env_stdTheta,3.3210496125421844,3.209591288061329,3.4021289370410113,-0.09923829762897407,-0.15394092762768402,-0.06861389456616829,-0.08422971614369487,-0.13239446859274548,0.014241579646522892
14,amp_kurtAlpha,3.251788045243352,3.1674186341066877,3.325165622992976,-0.06353588976562963,-0.11612802865472738,-0.024294485427050927,0.009814165322921928,-0.05592923034115758,0.06958099757160204
15,amp_kurtBeta,3.2668362576163927,3.1598998151716122,3.401864622502208,-0.08047851714192977,-0.12238145967415825,-0.04599540729794249,-0.06784821334136687,-0.17080386580454504,-0.01103501880419187
16,amp_kurtDelta,3.1237690341464397,3.046999775265365,3.2216277931919293,0.011535324423374127,-0.02882825933468197,0.045032912246501994,0.13336978325881732,0.02123433218716657,0.22726326096058488
17,amp_kurtGamma,3.2061124251365927,3.057095358196294,3.296887285018509,-0.03303466615843598,-0.07959294632605945,-0.00040411387488425987,0.04484943090349754,-0.04494305254561762,0.11784865976855306
18,amp_kurtTheta,3.196854073468998,3.0721363017439676,3.294061445900072,-0.043554997076237445,-0.0707310594434844,-0.004451426739352893,0.022924427902895738,-0.051300458088225184,0.08601634268678679
19,amp_skewAlpha,3.1299548221538154,3.026764267004825,3.2851398770186595,0.010168190947182132,-0.047070202525177074,0.039621474738409074,0.13376242956708495,0.008302064670081731,0.21129901627467113
20,amp_skewBeta,3.3135981910195875,3.1730694138522004,3.4077243737958884,-0.10540854534954369,-0.13803329312848778,-0.059293707955545505,-0.18574972099595,-0.2438755806324142,-0.09593349777155183
21,amp_skewDelta,3.2159311916965856,3.1254198904004964,3.3402788307421254,-0.06259300126852962,-0.0902742038299863,-0.02900674527977304,-0.05768507237529792,-0.14233809028711497,0.012057186237491357
22,amp_skewGamma,3.1375130446808956,3.038947886059021,3.2444699866390243,0.0034950908526332203,-0.024962231975745375,0.034239066579542565,0.10736891092552989,0.036605724175051244,0.19543169013401
23,amp_skewTheta,3.2344907332428496,3.117131597005958,3.337439697064836,-0.06469230787998737,-0.0928924367410141,-0.017542079741941663,-0.06676977997684919,-0.1416477600276147,0.04067268377131079
24,amp_total_powAlpha,3.1961365665958628,3.0940427444116514,3.3270919840695687,-0.04849607386901933,-0.09688496604568886,0.009306002963874543,0.07854859549868917,0.013589993148105262,0.16414341494368168
25,amp_total_powBeta,3.1614717281627662,3.0589530758721906,3.264603214277798,-0.010043298477796725,-0.04418438440802519,0.019332283746803985,0.12034469497512282,0.06927497329129811,0.17190659046602902
26,amp_total_powDelta,3.263464006514557,3.1664124198851837,3.3591672907661847,-0.08104362914202001,-0.12535299367702762,-0.028663544694201792,-0.033413259107551004,-0.09654363946204028,0.05976936835727472
27,amp_total_powGamma,3.1920199298696526,3.023528895000915,3.2966100338178332,-0.028778670243580384,-0.06443780350944822,0.035110687672970514,0.0990086704233384,0.041294137049651444,0.21440120679491523
28,amp_total_powTheta,3.320904971690143,3.1995141535881846,3.420632783994857,-0.10641523801028618,-0.1439887570785532,-0.07254528474232574,-0.07113973546920171,-0.16800573489859588,0.0008783599073361151
29,approxEnt,3.153658733683171,3.0216191909624124,3.2462852817354215,0.010330670497538219,-0.04058830957259846,0.04658696284492206,0.1414455764186546,0.0368090680103947,0.22266537374610312
30,Beta,3.3178331103458163,3.2017873545774633,3.4385556648601545,-0.11212063380394077,-0.1514383839924937,-0.07409232233303897,-0.13979415434166811,-0.20910453446805433,-0.05729476108922714
31,betaPh_gammaAmp,3.1913869075053283,3.0966404055191608,3.3085245482093986,-0.039970737435298,-0.06899148148071849,-0.002162138888982923,-0.0015481162758464208,-0.0695659036031252,0.0787042181952527
32,Complexity,3.1781335069610614,3.0957670460452733,3.3090080597150155,-0.027347741625520672,-0.07285728028670807,-0.0030458526550598553,0.07904605892669417,0.000873759355427153,0.13189204596622434
33,CorDim,3.2042349254143363,3.0747222750169794,3.3120643873862483,-0.0238966158083056,-0.06143137003142907,0.00847425023930437,0.0648495113810127,-0.009493554315989007,0.13298765330993767
34,Delta,3.2440412651534594,3.1735885173180503,3.3469976577420546,-0.07381814550154286,-0.10201826006121578,-0.04484951683204147,-0.007004922291686963,-0.06138406740623889,0.042716611200593425
35,deltaPh_alphaAmp,3.148295710324855,3.079481986485953,3.2495606051119963,-0.013640256627826863,-0.10010588307518248,0.025470585963558334,0.09062666762454694,-0.030496247635112307,0.16916872708318514
36,deltaPh_betaAmp,3.2032549352161537,3.118208622017422,3.3489550884970067,-0.04726868777963544,-0.0861562829764983,-0.011904440624664114,-0.02978528077950215,-0.11650671307407083,0.06001443741728581
37,deltaPh_gammaAmp,3.13162827735531,3.0277317554343437,3.2159684182212205,0.0025608657610844965,-0.03212233318482649,0.04838898913763992,0.1001339801203365,0.024701733036095158,0.22960762003899318
38,DFA_exp_alpha,3.3831366689113804,3.2582150182750276,3.497028350411425,-0.1470963092879285,-0.22651464379384545,-0.11364828071268984,-0.19057377395241354,-0.2751658138815154,-0.12670550862030597
39,DFA_exp_beta,3.284829666979145,3.1401143749028297,3.4128682658050784,-0.0889863891344761,-0.1305791816265358,-0.05353116812268177,-0.07617453777901528,-0.12525790650772045,-0.009519784026399023
40,DFA_exp_delta,3.164005827783365,3.0763058919564195,3.304987768715937,-0.017073430989805738,-0.06070867199000474,0.004236125338155067,0.042432293631589596,-0.0643165986185803,0.10495357638282751
41,DFA_exp_gamma,3.235760457281583,3.111002068698927,3.385265381252716,-0.05878754873814018,-0.1059335729391312,-0.02799543905779145,-0.0005157667836414859,-0.0837653953495533,0.07847434624063955
42,DFA_exp_theta,3.165707285673557,3.0545615245348854,3.272514178616775,-0.014046572173673999,-0.06043651492510427,0.023503489087986246,0.08781438179329618,0.014377766639140109,0.17063188475230856
43,el_dtf_betw_alpha,3.1882127500582085,3.104880662349821,3.3172517517677473,-0.03334056584353817,-0.07273988546926474,0.0005656112827612247,0.03491833413396954,-0.08734715062530787,0.10478682249756868
44,el_dtf_betw_beta,3.214149274116356,3.1152417170175717,3.309719255486184,-0.03881210846215033,-0.08339989565006839,-0.007834947881953713,0.005201074900060283,-0.09103474816516074,0.07674526148213563
45,el_dtf_betw_delta,3.118959440122742,3.0413712264667527,3.2407467943011596,0.008164660053979478,-0.03935834388110482,0.03778343838330453,0.1278106361469495,0.03749720283363055,0.20051578740137965
46,el_dtf_betw_gamma,3.238968604153208,3.166156960428001,3.3337716473739523,-0.06358629961446594,-0.10719610310166022,-0.03360039636705231,-0.07599510338285845,-0.13016011705657757,0.008766431734806675
47,el_dtf_betw_theta,3.1871742392593374,3.0722188025095996,3.307817571891134,-0.021117491881239348,-0.06407602792858696,0.005455769800714855,0.034892591514129156,-0.0923382699439958,0.11492450450711177
48,el_dtf_clus_alpha,3.197541912851011,3.1053940586919784,3.3474950326409223,-0.02650412520241996,-0.08557410750333672,-0.0038631288427815325,0.020269668507604966,-0.08939549603715004,0.0993887839378427
49,el_dtf_clus_beta,3.23490681182471,3.1504522393623544,3.358353065256966,-0.04846415269650084,-0.11842255856850153,-0.016063415314165663,0.004904591650668207,-0.10620102367234119,0.05262735617258171
50,el_dtf_clus_delta,3.2045421951943682,3.133209269363136,3.3291978293288444,-0.040531459161918915,-0.09124351540211506,0.0019966735815022396,0.026622241287178498,-0.07365404722383173,0.08961337797140159
51,el_dtf_clus_gamma,3.2183502191327547,3.127158777709882,3.3310586812162777,-0.04499050070129251,-0.09485787008585733,-0.00944036763585604,0.027914766133127364,-0.053411455683075273,0.08174629811643927
52,el_dtf_clus_theta,3.184949672191606,3.0821747552048353,3.3121100094770224,-0.028081101307582235,-0.0726853262012086,0.004350060651693355,0.04882003969776473,-0.020007592242582112,0.12076554590423053
53,el_dtf_str_alpha,3.242174469162922,3.150527425584376,3.363980684756986,-0.07092951434845907,-0.12235994501734337,-0.010441832744970903,0.029818267374773305,-0.07348568807937807,0.08818427446902236
54,el_dtf_str_beta,3.243382297356129,3.1190068093374963,3.3743732823586683,-0.05419095836167931,-0.10605367458365833,-0.013726855151107942,0.024345586834498868,-0.05409564778092851,0.09764430530223399
55,el_dtf_str_delta,3.2262516384803406,3.1472467676041083,3.3544747459372948,-0.06290571695187597,-0.09282544411272375,-0.02611953840581377,-0.00430737418767806,-0.05800490855252152,0.06938103371424029
56,el_dtf_str_gamma,3.177370647716547,3.0839278851463994,3.340288787793291,-0.03265208001981501,-0.10794044795568947,0.0416125973747041,0.12904980843190475,0.032730048726093114,0.22293127305201754
57,el_dtf_str_theta,3.1435190956647583,3.0682770063241156,3.273418272417195,-0.01676090970942412,-0.05379798145754572,0.028533938718840385,0.0948707598967264,0.043206133910216105,0.18568143529767817
58,el_icoh_betw_alpha,3.057914577083551,2.989096486252011,3.1912917017730322,0.04060530908174431,0.012633243319671389,0.06355885599303673,0.21540475102734263,0.12353002934264411,0.2860661388420689
59,el_icoh_betw_beta,3.199731611929088,3.112702465255819,3.2708240311490577,-0.028248970582856248,-0.05164760081688052,-0.00795797878434823,-0.018499731088060592,-0.0875255373912738,0.0569745717056179
60,el_icoh_betw_delta,3.167143132758129,3.09233905136396,3.283387853886445,-0.02715759399289186,-0.0579081102859661,-0.005433831836325453,-0.017964227245395602,-0.11232285339343247,0.0500560597304096
61,el_icoh_betw_gamma,3.2242507824466085,3.1120722188979952,3.3836288257475715,-0.06268616166329921,-0.09449772544668639,-0.03365932163739882,-0.08776459609325021,-0.14574477643850448,-0.016537271639727454
62,el_icoh_betw_theta,3.2697827278649445,3.14792718658586,3.3387602573829884,-0.06341982974607041,-0.08534732848621107,-0.04825395633822532,-0.13063053654993606,-0.2029088231416017,-0.0811402758837378
63,el_icoh_clus_alpha,3.2845102921626896,3.1412204904887377,3.384594381124937,-0.08272100216574374,-0.13558095281234367,-0.03484068166919263,-0.08560022493518377,-0.15057992167457923,0.01912545801550202
64,el_icoh_clus_beta,3.277487501656546,3.1145169921642855,3.422885356103817,-0.06183693631913312,-0.12632830463925138,-0.028965811118571383,-0.01943909576777423,-0.09692479979116662,0.05541786168779014
65,el_icoh_clus_delta,3.272162805685216,3.14042694897278,3.389326996740426,-0.07893398056868284,-0.13008683886686495,-0.03140939039726509,-0.06586102164076835,-0.1688073145131429,0.016216449285094837
66,el_icoh_clus_gamma,3.2684157165825445,3.1207384025364706,3.363206729808672,-0.07894790680532227,-0.12537881790555855,-0.004670170435859156,-0.005041800632566073,-0.07870327354214383,0.12411721777790134
